Well,X,Y,NTG
201-901,201,901,0.24116365635172998
201-902,201,902,0.24116365635172998
201-903,201,903,0.276287796237227
201-904,201,904,0.2449078124521564
201-905,201,905,0.2182477532631936
201-906,201,906,0.22426603140956966
201-908,201,908,0.19781270671195408
201-909,201,909,0.23517769483204345
201-910,201,910,0.2597874169012115
201-911,201,911,0.3533506665178691
201-912,201,912,0.3533506665178691
201-913,201,913,0.36422478766672267
201-915,201,915,0.3787692676281236
201-916,201,916,0.37513253828582915
201-917,201,917,0.37763145825840105
201-918,201,918,0.3756555719743422
201-919,201,919,0.4069537816633791
201-920,201,920,0.4212620150067259
201-921,201,921,0.4261365566119936
201-922,201,922,0.4261365566119936
201-923,201,923,0.42028658827947446
201-925,201,925,0.4106343214331851
201-926,201,926,0.4106343214331851
201-927,201,927,0.4106343214331851
201-928,201,928,0.39659712034807443
201-929,201,929,0.3723998839928219
201-930,201,930,0.37186306961343735
202-901,202,901,0.24116365635172998
202-902,202,902,0.24116365635172998
202-903,202,903,0.276287796237227
202-904,202,904,0.2449078124521564
202-905,202,905,0.2182477532631936
202-906,202,906,0.22426603140956966
202-907,202,907,0.20750542273777306
202-908,202,908,0.19781270671195408
202-909,202,909,0.23517769483204345
202-910,202,910,0.2597874169012115
202-911,202,911,0.3533506665178691
202-912,202,912,0.3533506665178691
202-913,202,913,0.36422478766672267
202-914,202,914,0.3685310497410374
202-915,202,915,0.3787692676281236
202-916,202,916,0.37513253828582915
202-917,202,917,0.37763145825840105
202-918,202,918,0.3756555719743422
202-919,202,919,0.4030272250177637
202-920,202,920,0.4173354583611105
202-921,202,921,0.42220999996637826
202-923,202,923,0.4163600316338591
202-924,202,924,0.4163600316338591
202-926,202,926,0.40670776478756976
202-927,202,927,0.40670776478756976
202-928,202,928,0.39267056370245906
202-929,202,929,0.36847332734720656
202-930,202,930,0.367936512967822
203-901,203,901,0.2521520544230105
203-903,203,903,0.2872761943085073
203-904,203,904,0.25589621052343686
203-905,203,905,0.2292361513344741
203-907,203,907,0.2184938208090535
203-908,203,908,0.20880110478323458
203-909,203,909,0.24616609290332378
203-910,203,910,0.27077581497249187
203-911,203,911,0.35414179036456966
203-912,203,912,0.35414179036456966
203-913,203,913,0.36730574621528406
203-914,203,914,0.3716120082895988
203-915,203,915,0.38185022617668496
203-916,203,916,0.37821349683439054
203-917,203,917,0.38071241680696244
203-918,203,918,0.37873653052290357
