Well,X,Y,NTG
201-901,201,901,0.231075
201-902,201,902,0.231075
201-903,201,903,0.231075
201-904,201,904,0.23107499999999997
201-905,201,905,0.23107499999999997
201-906,201,906,0.214725
201-908,201,908,0.214725
201-909,201,909,0.23895
201-910,201,910,0.266625
201-911,201,911,0.266625
201-912,201,912,0.293625
201-913,201,913,0.325175
201-915,201,915,0.329525
201-916,201,916,0.360225
201-917,201,917,0.360225
201-918,201,918,0.38905
201-919,201,919,0.38905
201-920,201,920,0.40305
201-921,201,921,0.40304999999999996
201-922,201,922,0.40304999999999996
201-923,201,923,0.42067499999999997
201-925,201,925,0.420675
201-926,201,926,0.39975
201-927,201,927,0.39975
201-928,201,928,0.38555
201-929,201,929,0.379425
201-930,201,930,0.343075
202-901,202,901,0.231075
202-902,202,902,0.231075
202-903,202,903,0.231075
202-904,202,904,0.231075
202-905,202,905,0.214725
202-906,202,906,0.214725
202-907,202,907,0.214725
202-908,202,908,0.23895
202-909,202,909,0.23895
202-910,202,910,0.23895
202-911,202,911,0.293625
202-912,202,912,0.324175
202-913,202,913,0.324175
202-914,202,914,0.329525
202-915,202,915,0.329525
202-916,202,916,0.32935000000000003
202-917,202,917,0.360225
202-918,202,918,0.35965
202-919,202,919,0.354825
202-920,202,920,0.40305
202-921,202,921,0.40305
202-923,202,923,0.42067499999999997
202-924,202,924,0.420675
202-926,202,926,0.39975
202-927,202,927,0.379425
202-928,202,928,0.379425
202-929,202,929,0.343075
202-930,202,930,0.308475
203-901,203,901,0.230275
203-903,203,903,0.230275
203-904,203,904,0.230275
203-905,203,905,0.214725
203-907,203,907,0.214725
203-908,203,908,0.23895
203-909,203,909,0.23895
203-910,203,910,0.252375
203-911,203,911,0.292825
203-912,203,912,0.324175
203-913,203,913,0.324175
203-914,203,914,0.32935000000000003
203-915,203,915,0.32935000000000003
203-916,203,916,0.32935000000000003
203-917,203,917,0.333125
203-918,203,918,0.35965
203-919,203,919,0.354825
203-920,203,920,0.38265
203-921,203,921,0.405925
203-922,203,922,0.405925
203-923,203,923,0.39692500000000003
203-924,203,924,0.420675
203-925,203,925,0.399225
203-926,203,926,0.40265
203-927,203,927,0.37942499999999996
203-928,203,928,0.37942499999999996
203-930,203,930,0.308475
204-901,204,901,0.230275
204-902,204,902,0.230275
204-903,204,903,0.230275
204-905,204,905,0.230275
204-906,204,906,0.21472499999999997
204-908,204,908,0.23894999999999997
204-909,204,909,0.270025
204-910,204,910,0.28345
204-911,204,911,0.300575
204-912,204,912,0.30005
204-913,204,913,0.324175
204-914,204,914,0.32935
204-915,204,915,0.32935000000000003
204-916,204,916,0.352275
204-917,204,917,0.333125
204-918,204,918,0.33842500000000003
204-919,204,919,0.33842500000000003
204-920,204,920,0.3425
204-921,204,921,0.376525
204-922,204,922,0.396925
204-923,204,923,0.396925
204-924,204,924,0.39692500000000003
204-926,204,926,0.37942499999999996
204-927,204,927,0.379425
204-928,204,928,0.34595
204-929,204,929,0.308475
204-930,204,930,0.308475
205-901,205,901,0.230275
205-902,205,902,0.230275
205-903,205,903,0.230275
205-904,205,904,0.230275
205-905,205,905,0.21199999999999997
205-906,205,906,0.21199999999999997
205-907,205,907,0.21200000000000002
205-908,205,908,0.240925
205-909,205,909,0.254525
205-910,205,910,0.30057500000000004
205-912,205,912,0.30005
205-913,205,913,0.30005
205-914,205,914,0.30522499999999997
205-915,205,915,0.338025
205-917,205,917,0.3119
