Well,X,Y,NTG
201-901,201,901,0.34402705247802823
201-902,201,902,0.34329351437017275
201-903,201,903,0.34255997626231727
201-904,201,904,0.3418264381544619
201-905,201,905,0.3410929000466064
201-906,201,906,0.34035936193875094
201-908,201,908,0.33889228572304
201-909,201,909,0.3381587476151845
201-910,201,910,0.337425209507329
201-911,201,911,0.33669167139947354
201-912,201,912,0.33595813329161806
201-913,201,913,0.3352245951837626
201-915,201,915,0.3337575189680516
201-916,201,916,0.33302398086019613
201-917,201,917,0.33229044275234065
201-918,201,918,0.3315569046444853
201-919,201,919,0.3308233665366298
201-920,201,920,0.3300898284287743
201-921,201,921,0.32935629032091884
201-922,201,922,0.32862275221306336
201-923,201,923,0.3278892141052079
201-925,201,925,0.3264221378894969
201-926,201,926,0.32568859978164144
201-927,201,927,0.32495506167378596
201-928,201,928,0.3242215235659305
201-929,201,929,0.323487985458075
201-930,201,930,0.3227544473502195
202-901,202,901,0.34371879536300254
202-902,202,902,0.34298525725514706
202-903,202,903,0.3422517191472916
202-904,202,904,0.3415181810394362
202-905,202,905,0.34078464293158073
202-906,202,906,0.34005110482372525
202-907,202,907,0.33931756671586977
202-908,202,908,0.3385840286080143
202-909,202,909,0.3378504905001588
202-910,202,910,0.3371169523923033
202-911,202,911,0.33638341428444785
202-912,202,912,0.33564987617659237
202-913,202,913,0.3349163380687369
202-914,202,914,0.3341827999608814
202-915,202,915,0.3334492618530259
202-916,202,916,0.33271572374517044
202-917,202,917,0.33198218563731496
202-918,202,918,0.3312486475294596
202-919,202,919,0.3305151094216041
202-920,202,920,0.32978157131374863
202-921,202,921,0.32904803320589315
202-923,202,923,0.3275809569901822
202-924,202,924,0.3268474188823267
202-926,202,926,0.32538034266661575
202-927,202,927,0.32464680455876027
202-928,202,928,0.3239132664509048
202-929,202,929,0.3231797283430493
202-930,202,930,0.32244619023519383
203-901,203,901,0.34341053824797685
203-903,203,903,0.3419434620322659
203-904,203,904,0.3412099239244105
203-905,203,905,0.34047638581655504
203-907,203,907,0.3390093096008441
203-908,203,908,0.3382757714929886
203-909,203,909,0.3375422333851331
203-910,203,910,0.33680869527727764
203-911,203,911,0.33607515716942216
203-912,203,912,0.3353416190615667
203-913,203,913,0.3346080809537112
203-914,203,914,0.3338745428458557
203-915,203,915,0.33314100473800023
203-916,203,916,0.33240746663014475
203-917,203,917,0.3316739285222893
203-918,203,918,0.3309403904144339
203-919,203,919,0.3302068523065784
203-920,203,920,0.32947331419872294
203-921,203,921,0.32873977609086746
203-922,203,922,0.328006237983012
203-923,203,923,0.3272726998751565
203-924,203,924,0.326539161767301
203-925,203,925,0.32580562365944554
203-926,203,926,0.32507208555159006
203-927,203,927,0.3243385474437346
203-928,203,928,0.3236050093358791
203-930,203,930,0.32213793312016814
204-901,204,901,0.34310228113295116
204-902,204,902,0.3423687430250957
204-903,204,903,0.3416352049172402
204-905,204,905,0.34016812870152935
204-906,204,906,0.33943459059367387
204-908,204,908,0.3379675143779629
204-909,204,909,0.3372339762701074
204-910,204,910,0.33650043816225195
204-911,204,911,0.33576690005439647
204-912,204,912,0.335033361946541
204-913,204,913,0.3342998238386855
204-914,204,914,0.33356628573083
204-915,204,915,0.33283274762297455
204-916,204,916,0.33209920951511906
204-917,204,917,0.3313656714072636
204-918,204,918,0.3306321332994082
204-919,204,919,0.32989859519155273
204-920,204,920,0.32916505708369725
204-921,204,921,0.3284315189758418
204-922,204,922,0.3276979808679863
204-923,204,923,0.3269644427601308
204-924,204,924,0.32623090465227533
204-926,204,926,0.3247638284365644
204-927,204,927,0.3240302903287089
204-928,204,928,0.3232967522208534
204-929,204,929,0.32256321411299793
204-930,204,930,0.32182967600514245
205-901,205,901,0.34279402401792547
205-902,205,902,0.34206048591007
205-903,205,903,0.3413269478022145
205-904,205,904,0.34059340969435914
205-905,205,905,0.33985987158650366
205-906,205,906,0.3391263334786482
205-907,205,907,0.3383927953707927
205-908,205,908,0.3376592572629372
205-909,205,909,0.33692571915508174
205-910,205,910,0.33619218104722626
205-912,205,912,0.3347251048315153
205-913,205,913,0.3339915667236598
205-914,205,914,0.33325802861580434
205-915,205,915,0.33252449050794886
205-917,205,917,0.3310574142922379
205-918,205,918,0.3303238761843825
205-919,205,919,0.32959033807652705
205-920,205,920,0.32885679996867156
205-921,205,921,0.3281232618608161
205-922,205,922,0.3273897237529606
205-924,205,924,0.32592264753724964
205-925,205,925,0.32518910942939416
205-926,205,926,0.3244555713215387
205-928,205,928,0.3229884951058277
205-929,205,929,0.32225495699797224
205-930,205,930,0.32152141889011676
206-901,206,901,0.3424857669028998
206-902,206,902,0.3417522287950443
206-903,206,903,0.3410186906871888
206-904,206,904,0.34028515257933356
206-905,206,905,0.3395516144714781
206-906,206,906,0.3388180763636226
206-907,206,907,0.3380845382557671
206-908,206,908,0.33735100014791164
206-909,206,909,0.33661746204005616
206-910,206,910,0.3358839239322007
206-911,206,911,0.3351503858243452
206-913,206,913,0.33368330960863424
206-915,206,915,0.3322162333929233
206-916,206,916,0.3314826952850678
206-917,206,917,0.3307491571772123
206-918,206,918,0.33001561906935684
206-919,206,919,0.32928208096150136
206-920,206,920,0.3285485428536459
206-921,206,921,0.3278150047457904
206-922,206,922,0.3270814666379349
206-923,206,923,0.32634792853007943
206-924,206,924,0.32561439042222395
206-925,206,925,0.3248808523143685
206-926,206,926,0.324147314206513
206-927,206,927,0.3234137760986575
206-928,206,928,0.32268023799080203
206-930,206,930,0.32121316177509107
207-901,207,901,0.3421775097878741
207-902,207,902,0.3414439716800186
