Well,X,Y,NTG
201-901,201,901,0.2628
201-902,201,902,0.2628
201-903,201,903,0.2628
201-904,201,904,0.2628
201-905,201,905,0.2628
201-906,201,906,0.2517
201-908,201,908,0.2006
201-909,201,909,0.2006
201-910,201,910,0.2006
201-911,201,911,0.3624
201-912,201,912,0.3624
201-913,201,913,0.3624
201-915,201,915,0.3624
201-916,201,916,0.3624
201-917,201,917,0.3624
201-918,201,918,0.3624
201-919,201,919,0.4381
201-920,201,920,0.4381
201-921,201,921,0.4381
201-922,201,922,0.4381
201-923,201,923,0.4381
201-925,201,925,0.4021
201-926,201,926,0.4021
201-927,201,927,0.4021
201-928,201,928,0.3452
201-929,201,929,0.3452
201-930,201,930,0.3452
202-901,202,901,0.2628
202-902,202,902,0.2628
202-903,202,903,0.2628
202-904,202,904,0.2628
202-905,202,905,0.2628
202-906,202,906,0.2517
202-907,202,907,0.2006
202-908,202,908,0.2006
202-909,202,909,0.2006
202-910,202,910,0.2006
202-911,202,911,0.3624
202-912,202,912,0.3624
202-913,202,913,0.3624
202-914,202,914,0.3624
202-915,202,915,0.3624
202-916,202,916,0.3624
202-917,202,917,0.3624
202-918,202,918,0.3624
202-919,202,919,0.4289
202-920,202,920,0.4289
202-921,202,921,0.4289
202-923,202,923,0.4289
202-924,202,924,0.4289
202-926,202,926,0.4021
202-927,202,927,0.4021
202-928,202,928,0.3452
202-929,202,929,0.3452
202-930,202,930,0.3452
203-901,203,901,0.2628
203-903,203,903,0.2628
203-904,203,904,0.2628
203-905,203,905,0.2628
203-907,203,907,0.1974
203-908,203,908,0.1974
203-909,203,909,0.1974
203-910,203,910,0.1974
203-911,203,911,0.3624
203-912,203,912,0.3624
203-913,203,913,0.3624
203-914,203,914,0.3624
203-915,203,915,0.3624
203-916,203,916,0.3624
203-917,203,917,0.3624
203-918,203,918,0.3624
203-919,203,919,0.4289
203-920,203,920,0.4289
203-921,203,921,0.4289
203-922,203,922,0.4289
203-923,203,923,0.4289
203-924,203,924,0.4289
203-925,203,925,0.4021
203-926,203,926,0.4021
203-927,203,927,0.4021
203-928,203,928,0.3452
203-930,203,930,0.3452
204-901,204,901,0.2092
204-902,204,902,0.2092
204-903,204,903,0.2092
204-905,204,905,0.2092
204-906,204,906,0.2517
204-908,204,908,0.1974
204-909,204,909,0.1974
204-910,204,910,0.1974
204-911,204,911,0.3624
204-912,204,912,0.3624
204-913,204,913,0.3624
204-914,204,914,0.3624
204-915,204,915,0.3624
204-916,204,916,0.3624
204-917,204,917,0.3624
204-918,204,918,0.3624
204-919,204,919,0.4289
204-920,204,920,0.4289
204-921,204,921,0.4289
204-922,204,922,0.4289
204-923,204,923,0.4289
204-924,204,924,0.4289
204-926,204,926,0.4136
204-927,204,927,0.4136
204-928,204,928,0.3452
204-929,204,929,0.3452
204-930,204,930,0.3452
205-901,205,901,0.2092
205-902,205,902,0.2092
205-903,205,903,0.2092
205-904,205,904,0.2092
205-905,205,905,0.2092
205-906,205,906,0.2517
205-907,205,907,0.1974
205-908,205,908,0.1974
205-909,205,909,0.1974
205-910,205,910,0.1974
205-912,205,912,0.3061
205-913,205,913,0.3061
205-914,205,914,0.3268
205-915,205,915,0.3268
205-917,205,917,0.3268
205-918,205,918,0.3268
205-919,205,919,0.3205
205-920,205,920,0.3205
205-921,205,921,0.3388
205-922,205,922,0.3388
205-924,205,924,0.3333
205-925,205,925,0.3568
205-926,205,926,0.3568
205-928,205,928,0.3568
205-929,205,929,0.3568
205-930,205,930,0.3568
206-901,206,901,0.2092
206-902,206,902,0.2092
206-903,206,903,0.2092
206-904,206,904,0.2092
206-905,206,905,0.2092
206-906,206,906,0.1897
206-907,206,907,0.1897
206-908,206,908,0.1897
206-909,206,909,0.3249
206-910,206,910,0.3249
206-911,206,911,0.3054
206-913,206,913,0.3054
206-915,206,915,0.3228
206-916,206,916,0.3228
206-917,206,917,0.3228
206-918,206,918,0.3228
206-919,206,919,0.3205
206-920,206,920,0.3205
206-921,206,921,0.3388
206-922,206,922,0.3388
206-923,206,923,0.3431
206-924,206,924,0.3333
206-925,206,925,0.2963
206-926,206,926,0.2963
206-927,206,927,0.2963
206-928,206,928,0.2963
206-930,206,930,0.2682
207-901,207,901,0.2092
207-902,207,902,0.2092
207-903,207,903,0.2092
207-904,207,904,0.2092
207-905,207,905,0.2092
