Well,X,Y,NTG
201-901,201,901,0.02042331135181426
201-902,201,902,0.03390566753500218
201-903,201,903,0.021893548053565182
201-904,201,904,0.011757939694858435
201-905,201,905,0.041148672243168025
201-906,201,906,0.13695184589125803
201-908,201,908,0.11613171169747696
201-909,201,909,0.02547086036383288
201-910,201,910,0.0022470960321180036
201-911,201,911,0.004169941386953218
201-912,201,912,0.049093946746726895
201-913,201,913,0.2198101047284659
201-915,201,915,0.21985962412058194
201-916,201,916,0.04914544196579478
201-917,201,917,0.004088457111795845
201-918,201,918,0.0002162884830665469
201-919,201,919,0.0026834110803215356
201-920,201,920,0.03275344098169547
201-921,201,921,0.1498861294365054
201-922,201,922,0.28574149446337194
201-923,201,923,0.35820182167556625
201-925,201,925,0.34127322372913343
201-926,201,926,0.13239589237612642
201-927,201,927,0.029646570609106793
201-928,201,928,0.02955789977696268
201-929,201,929,0.045841557794385916
201-930,201,930,0.02776763803794253
202-901,202,901,0.09169526521156995
202-902,202,902,0.15395416000808876
202-903,202,903,0.10685644930742802
202-904,202,904,0.05965608876186093
202-905,202,905,0.09796082499653318
202-906,202,906,0.18810069238512328
202-907,202,907,0.19407174054522092
202-908,202,908,0.09282019713544352
202-909,202,909,0.019036340723999248
202-910,202,910,0.003186147281314609
202-911,202,911,0.005201067855108834
202-912,202,912,0.03142141911079759
202-913,202,913,0.1337822122402611
202-914,202,914,0.2203705314214916
202-915,202,915,0.13541258606720094
202-916,202,916,0.033132918408598534
202-917,202,917,0.004491487330663232
202-918,202,918,0.0006645445298088651
202-919,202,919,0.004459202771160593
202-920,202,920,0.05392904455128398
202-921,202,921,0.24391576483402153
202-923,202,923,0.3990482335904971
202-924,202,924,0.4179224520075714
202-926,202,926,0.20032981379601095
202-927,202,927,0.07095964900782713
202-928,202,928,0.1295367605922424
202-929,202,929,0.20572899776920836
202-930,202,930,0.1245037103378287
203-901,203,901,0.15191647426295504
203-903,203,903,0.21635304226633895
203-904,203,904,0.16342319084724907
203-905,203,905,0.1866852402581168
203-907,203,907,0.20959569140217435
203-908,203,908,0.08598666371961676
203-909,203,909,0.020257947565778686
203-910,203,910,0.021359695360440578
203-911,203,911,0.03406912497866622
203-912,203,912,0.027843165434291165
203-913,203,913,0.03684823839834738
203-914,203,914,0.05784407235880546
203-915,203,915,0.056378124480835984
203-916,203,916,0.04813162946126432
203-917,203,917,0.025528000191478262
203-918,203,918,0.0057133928367712064
203-919,203,919,0.0032334401660751664
203-920,203,920,0.03319456145906616
203-921,203,921,0.15263041055933718
203-922,203,922,0.27646760411164134
203-923,203,923,0.26098761942619186
203-924,203,924,0.309562514547586
203-925,203,925,0.38261338471433876
203-926,203,926,0.24122315827974855
203-927,203,927,0.130955789967528
203-928,203,928,0.23306730941811366
203-930,203,930,0.2066490526248632
204-901,204,901,0.09335635250355914
204-902,204,902,0.17419035152129286
204-903,204,903,0.19754927266462974
204-905,204,905,0.18886754827896712
204-906,204,906,0.20929940535239702
204-908,204,908,0.0958594382412987
204-909,204,909,0.040824926475978254
204-910,204,910,0.09551701232499687
204-911,204,911,0.15667451722330816
204-912,204,912,0.10646707231242376
204-913,204,913,0.051813492352758624
204-914,204,914,0.06576481158065135
204-915,204,915,0.13484381499917222
204-916,204,916,0.1894703960306501
204-917,204,917,0.11258020210718636
204-918,204,918,0.026643906923083095
204-919,204,919,0.00546382380802554
204-920,204,920,0.011124191941073565
204-921,204,921,0.0588199663866356
204-922,204,922,0.17326227185316137
204-923,204,923,0.273258947169182
204-924,204,924,0.3470688853427264
204-926,204,926,0.32923895434538225
204-927,204,927,0.2521805289162126
204-928,204,928,0.24557267256954063
204-929,204,929,0.24999148409764183
204-930,204,930,0.14075342130989954
205-901,205,901,0.021567160771881453
205-902,205,902,0.0478403079901259
205-903,205,903,0.08431743106040865
205-904,205,904,0.11378861183892362
205-905,205,905,0.09220437969548029
205-906,205,906,0.09982443744443498
205-907,205,907,0.11803319599508498
205-908,205,908,0.07289608166468793
205-909,205,909,0.07044441010349489
205-910,205,910,0.19474844456705967
205-912,205,912,0.23667693686200267
205-913,205,913,0.16705232698168238
205-914,205,914,0.20506528749090225
205-915,205,915,0.27994099815437185
205-917,205,917,0.1911116757997001
205-918,205,918,0.06210069077910136
205-919,205,919,0.03796741326750418
205-920,205,920,0.0250574658433946
205-921,205,921,0.049685746993753485
205-922,205,922,0.19656391229985265
205-924,205,924,0.31853336753774775
205-925,205,925,0.2903785310518552
205-926,205,926,0.3180727569567922
205-928,205,928,0.27623146064628246
205-929,205,929,0.19421089300971217
205-930,205,930,0.11340411978715705
206-901,206,901,0.0019346869380134988
206-902,206,902,0.005929551502500362
206-903,206,903,0.015934728557080762
206-904,206,904,0.025479131754062544
206-905,206,905,0.032926973868365454
206-906,206,906,0.08368392660960797
206-907,206,907,0.1328018635684022
206-908,206,908,0.10326594376362966
206-909,206,909,0.14141414345625902
206-910,206,910,0.2808708308525007
206-911,206,911,0.348847418686867
206-913,206,913,0.2766725207937964
206-915,206,915,0.3082659618916404
206-916,206,916,0.24677097222274488
206-917,206,917,0.14300869157109164
206-918,206,918,0.12562567621456347
206-919,206,919,0.16712080673244564
206-920,206,920,0.1022574500746075
206-921,206,921,0.04809299034955562
206-922,206,922,0.1178855420609124
206-923,206,923,0.20130958764066464
206-924,206,924,0.16995351465743938
206-925,206,925,0.15176629706055036
206-926,206,926,0.23914302165652282
206-927,206,927,0.33633482386562524
206-928,206,928,0.29332761625349174
206-930,206,930,0.22033771166167004
207-901,207,901,7.192696487400252e-05
207-902,207,902,0.00034422274251822387
207-903,207,903,0.0012796362574419636
207-904,207,904,0.004013775139736183
207-905,207,905,0.026449887491684764
207-906,207,906,0.11355833190642502
207-908,207,908,0.15116644173020444
207-909,207,909,0.20020069930165754
207-911,207,911,0.31572091779705125
207-913,207,913,0.2394469131239133
207-914,207,914,0.3036647403258214
207-915,207,915,0.3206398420668833
207-916,207,916,0.19136161126379883
207-917,207,917,0.10041043016747886
207-918,207,918,0.20266934077139503
207-920,207,920,0.19454894606681883
207-921,207,921,0.0495233577517443
207-922,207,922,0.03324916828464126
207-923,207,923,0.07076851207455916
207-924,207,924,0.14247322209817284
207-925,207,925,0.2255155973632616
207-926,207,926,0.2692938103505933
207-928,207,928,0.24017280648957928
207-929,207,929,0.2496732094978107
208-901,208,901,2.240342233937026e-06
208-902,208,902,2.184485037810257e-05
208-903,208,903,0.00013100068432589677
208-904,208,904,0.0014049753127024559
208-905,208,905,0.015305482673782263
208-906,208,906,0.06821827694266056
208-907,208,907,0.11421076772830108
208-908,208,908,0.09099287640084812
208-909,208,909,0.11879380595775216
208-910,208,910,0.18426473422594866
208-911,208,911,0.16350366626518817
208-912,208,912,0.13075922571470494
208-913,208,913,0.1373175569365802
208-914,208,914,0.27250291782179603
208-916,208,916,0.26996842379713726
208-917,208,917,0.11969832378111675
208-918,208,918,0.17982837176548866
208-920,208,920,0.1683798491415303
208-921,208,921,0.04355702577556989
208-922,208,922,0.03315146145020783
208-923,208,923,0.08547320786455806
208-924,208,924,0.21125026486234133
208-926,208,926,0.2662760979586441
208-927,208,927,0.18436249020059667
208-928,208,928,0.11867668177595529
208-929,208,929,0.1161848030365308
208-930,208,930,0.13922318478970114
209-901,209,901,3.420956569066639e-05
209-902,209,902,0.0004191979726772884
209-903,209,903,0.001915628582976341
209-904,209,904,0.0035525330721952165
209-905,209,905,0.00559088094034343
209-906,209,906,0.015830547811210145
209-907,209,907,0.025553785940143015
209-908,209,908,0.020296268335395804
209-909,209,909,0.02641969768639847
209-910,209,910,0.040644626264440493
209-911,209,911,0.036320838977803346
209-912,209,912,0.04315701827325068
209-913,209,913,0.11291138842572043
209-914,209,914,0.2716244376473513
209-915,209,915,0.41181408310696344
209-917,209,917,0.1920938079649251
209-918,209,918,0.1294944379633084
209-919,209,919,0.160429679853409
209-920,209,920,0.09947862000057361
209-921,209,921,0.04929485957624755
209-922,209,922,0.11860817166519681
209-923,209,923,0.22231961800913638
209-924,209,924,0.24873404500106894
209-925,209,925,0.2316643536784124
209-926,209,926,0.15690464199286844
209-927,209,927,0.10423301193254512
209-928,209,928,0.07259060702072234
209-929,209,929,0.044235998685865745
209-930,209,930,0.03347749991754216
210-901,210,901,0.0004177081127632565
210-902,210,902,0.005117644600294088
210-903,210,903,0.02328890636015084
210-904,210,904,0.039998764030062334
210-905,210,905,0.027130189449563462
210-906,210,906,0.008820088298030038
210-907,210,907,0.0030650925547208675
210-908,210,908,0.0017240359090341468
210-909,210,909,0.0021706658142055957
210-910,210,910,0.003426651235044801
210-911,210,911,0.006218850447957126
210-912,210,912,0.0436096866043958
210-913,210,913,0.19478217904475048
210-915,210,915,0.453231612313607
210-917,210,917,0.2668850822754543
210-918,210,918,0.19550604725234239
210-919,210,919,0.24736710172242557
210-920,210,920,0.1722439990162148
210-921,210,921,0.11435975890689323
210-922,210,922,0.22499511401048214
210-924,210,924,0.33802485739317384
210-925,210,925,0.1815889898501908
210-926,210,926,0.1510296716723193
210-927,210,927,0.22968676040411823
210-928,210,928,0.2164332210794569
210-929,210,929,0.09842979111941003
210-930,210,930,0.02118933477788712
211-901,211,901,0.00190807491005713
211-902,211,902,0.02336734802961525
211-903,211,903,0.10630082014435502
211-904,211,904,0.18234177521496123
211-905,211,905,0.12227955132648195
211-906,211,906,0.034401924537559976
211-907,211,907,0.004465627472819282
211-908,211,908,0.00032689568519510634
211-909,211,909,0.00013332419550159358
211-910,211,910,0.0003241687164645595
211-911,211,911,0.004295371668285195
211-912,211,912,0.050597633549692586
211-913,211,913,0.22868529580466662
211-915,211,915,0.3638649141103253
211-916,211,916,0.27873296682173965
211-917,211,917,0.19002879648564275
211-918,211,918,0.2543967370784805
211-920,211,920,0.3321478007432711
211-921,211,921,0.2580535805729299
211-922,211,922,0.25298030141515154
211-923,211,923,0.3367849313223592
211-925,211,925,0.19397525904823382
211-926,211,926,0.2048629483103128
211-929,211,929,0.15950260951424589
211-930,211,930,0.031223970993674986
212-901,212,901,0.0036390878591693898
212-902,212,902,0.04387465482595088
212-903,212,903,0.19882996938189867
212-906,212,906,0.06191315871977296
212-907,212,907,0.0077665718496976325
212-908,212,908,0.0009553385181406631
212-909,212,909,0.002016219384886059
212-910,212,910,0.0033528941607062963
212-911,212,911,0.004723452076146211
212-912,212,912,0.029707749998008213
212-913,212,913,0.12444888665829171
212-914,212,914,0.20679701087495245
212-915,212,915,0.15205015556109464
212-916,212,916,0.08625514609959402
212-917,212,917,0.08767548019588543
212-918,212,918,0.1831439485510272
212-919,212,919,0.2840818234684211
212-920,212,920,0.32144184758547406
212-922,212,922,0.2277080710959759
212-923,212,923,0.16113333965065546
212-924,212,924,0.16142058388292857
212-925,212,925,0.10653425495398922
212-926,212,926,0.12274274719242181
212-927,212,927,0.22364941926675014
212-928,212,928,0.21769694534417838
212-929,212,929,0.10023935380500905
212-930,212,930,0.02204683497169989
213-901,213,901,0.006211798713931356
