Well,X,Y,NTG
201-901,201,901,0.22433999999999998
201-902,201,902,0.22433999999999998
201-903,201,903,0.22433999999999998
201-904,201,904,0.22433999999999998
201-905,201,905,0.22433999999999998
201-906,201,906,0.22433999999999998
201-908,201,908,0.233
201-909,201,909,0.26364
201-910,201,910,0.26364
201-911,201,911,0.27438
201-912,201,912,0.29946
201-913,201,913,0.3247
201-915,201,915,0.3247
201-916,201,916,0.34940000000000004
201-917,201,917,0.35228000000000004
201-918,201,918,0.37534
201-919,201,919,0.37986
201-920,201,920,0.38780000000000003
201-921,201,921,0.40515999999999996
201-922,201,922,0.40515999999999996
201-923,201,923,0.40515999999999996
201-925,201,925,0.40558000000000005
201-926,201,926,0.40557999999999994
201-927,201,927,0.39116
201-928,201,928,0.39116
201-929,201,929,0.39116
201-930,201,930,0.35717999999999994
202-901,202,901,0.22433999999999998
202-902,202,902,0.22433999999999998
202-903,202,903,0.22433999999999998
202-904,202,904,0.22433999999999998
202-905,202,905,0.22433999999999998
202-906,202,906,0.22433999999999998
202-907,202,907,0.233
202-908,202,908,0.233
202-909,202,909,0.25224
202-910,202,910,0.26364
202-911,202,911,0.27438
202-912,202,912,0.31252
202-913,202,913,0.3247
202-914,202,914,0.3247
202-915,202,915,0.32470000000000004
202-916,202,916,0.32470000000000004
202-917,202,917,0.35228000000000004
202-918,202,918,0.35228000000000004
202-919,202,919,0.37148
202-920,202,920,0.38780000000000003
202-921,202,921,0.4051600000000001
202-923,202,923,0.40515999999999996
202-924,202,924,0.4051600000000001
202-926,202,926,0.39116
202-927,202,927,0.39116
202-928,202,928,0.39116
202-929,202,929,0.35717999999999994
202-930,202,930,0.32720000000000005
203-901,203,901,0.22434000000000004
203-903,203,903,0.22434000000000004
203-904,203,904,0.22434000000000004
203-905,203,905,0.22433999999999998
203-907,203,907,0.20972
203-908,203,908,0.233
203-909,203,909,0.25614
203-910,203,910,0.25224
203-911,203,911,0.29924
203-912,203,912,0.31252
203-913,203,913,0.3247
203-914,203,914,0.32470000000000004
203-915,203,915,0.32470000000000004
203-916,203,916,0.32758000000000004
203-917,203,917,0.35228000000000004
203-918,203,918,0.35228000000000004
203-919,203,919,0.33936
203-920,203,920,0.37148
203-921,203,921,0.40515999999999996
203-922,203,922,0.40515999999999996
203-923,203,923,0.4051600000000001
203-924,203,924,0.40515999999999996
203-925,203,925,0.39074
203-926,203,926,0.39116
203-927,203,927,0.39116
203-928,203,928,0.35718
203-930,203,930,0.30604
204-901,204,901,0.22434000000000004
