Well,X,Y,NTG
201-901,201,901,0.2902672938689079
201-902,201,902,0.27416302960563144
201-903,201,903,0.259782484110616
201-904,201,904,0.24819307535773305
201-905,201,905,0.23703267766256886
201-906,201,906,0.21999276957848224
201-908,201,908,0.20477571036906284
201-909,201,909,0.22370401815678065
201-910,201,910,0.2508031180707917
201-911,201,911,0.2812439650904821
201-912,201,912,0.3115298948642078
201-913,201,913,0.3393781488805132
201-915,201,915,0.37658815811968793
201-916,201,916,0.3877290851144721
201-917,201,917,0.3987180469854934
201-918,201,918,0.4102112259799924
201-919,201,919,0.4218289863042912
201-920,201,920,0.4328469241934556
201-921,201,921,0.44226984658438084
201-922,201,922,0.44794908464967875
201-923,201,923,0.44703419397440314
201-925,201,925,0.41892080038925883
201-926,201,926,0.4069825620807137
201-927,201,927,0.3984570929322615
201-928,201,928,0.38832771199307103
201-929,201,929,0.37684752127213983
201-930,201,930,0.3657659646899134
202-901,202,901,0.28720512039666346
202-902,202,902,0.2702822916282628
202-903,202,903,0.2553531462770593
202-904,202,904,0.2477497145603138
202-905,202,905,0.24759511626788822
202-906,202,906,0.24067342066530273
202-907,202,907,0.21914596650944418
202-908,202,908,0.21274703928312988
202-909,202,909,0.2277715319116851
202-910,202,910,0.2537886019122766
202-911,202,911,0.28262641868812466
202-912,202,912,0.30977077206270565
202-913,202,913,0.33299421169573407
202-914,202,914,0.35067969290884093
202-915,202,915,0.36233189217881545
202-916,202,916,0.3716595517245054
202-917,202,917,0.3816807707341354
202-918,202,918,0.39272366729241526
202-919,202,919,0.40377780000017083
202-920,202,920,0.41391540152173434
202-921,202,921,0.4227064194449497
202-923,202,923,0.42766762109016554
202-924,202,924,0.41886860024470707
202-926,202,926,0.3977105746000973
202-927,202,927,0.38989386890865774
202-928,202,928,0.3769262734767409
202-929,202,929,0.3620922070749657
202-930,202,930,0.3483742673123231
203-901,203,901,0.2822752527578416
203-903,203,903,0.24293667505054373
203-904,203,904,0.23444265550963905
203-905,203,905,0.24364064320639045
203-907,203,907,0.22266322018074902
203-908,203,908,0.2158415677589005
203-909,203,909,0.2337953720740984
203-910,203,910,0.2608300284531708
203-911,203,911,0.28746790563729974
203-912,203,912,0.30971394942602615
203-913,203,913,0.326394409484152
203-914,203,914,0.3378865887337241
203-915,203,915,0.34577024416852
203-916,203,916,0.3532175751326747
203-917,203,917,0.36282506453821384
203-918,203,918,0.37382876223318817
203-919,203,919,0.3838852376877355
203-920,203,920,0.39154156840544374
203-921,203,921,0.3968280589565154
203-922,203,922,0.4004724510772064
203-923,203,923,0.4039298808808667
203-924,203,924,0.40864610255461287
203-925,203,925,0.4096757716918944
203-926,203,926,0.40182238816178995
203-927,203,927,0.38594878841740865
203-928,203,928,0.36539005363133015
203-930,203,930,0.32856046858626087
204-901,204,901,0.27613508642770057
204-902,204,902,0.2513504729608087
204-903,204,903,0.22604604631953862
204-905,204,905,0.21459203789709136
204-906,204,906,0.21400627029737507
204-908,204,908,0.21205702877179533
204-909,204,909,0.24214526035689232
204-910,204,910,0.2724702445590026
204-911,204,911,0.2959497863604099
204-912,204,912,0.3120605854741143
204-913,204,913,0.32159800935946237
204-914,204,914,0.3273782348081511
204-915,204,915,0.3313714027844128
204-916,204,916,0.33611210749417353
204-917,204,917,0.34556625363291005
204-918,204,918,0.3567349190520872
204-919,204,919,0.36535553987800995
204-920,204,920,0.3693727190082967
204-921,204,921,0.36945825418331424
204-922,204,922,0.3686886915428431
204-923,204,923,0.3745819499784204
204-924,204,924,0.39425881499849424
204-926,204,926,0.4015595676415842
204-927,204,927,0.377906238438527
204-928,204,928,0.34841104941628487
204-929,204,929,0.3221068484324121
204-930,204,930,0.3051651856989679
205-901,205,901,0.2734694475859669
205-902,205,902,0.24548623895114474
205-903,205,903,0.21771622730000217
205-904,205,904,0.1975108350700907
205-905,205,905,0.19022623394391758
205-906,205,906,0.18697051278419963
205-907,205,907,0.19058305607157422
205-908,205,908,0.21772519992131834
205-909,205,909,0.2576116020963326
205-910,205,910,0.2897554660292201
205-912,205,912,0.3145852081658518
205-913,205,913,0.31725999750014466
205-914,205,914,0.3213637121641426
205-915,205,915,0.3255846050276716
205-917,205,917,0.3349093754960393
205-918,205,918,0.34443958300497
205-919,205,919,0.35099624104029203
205-920,205,920,0.351184469932619
205-921,205,921,0.3469161029247232
205-922,205,922,0.3418790050478435
205-924,205,924,0.36586939481786374
205-925,205,925,0.38319882628658775
205-926,205,926,0.3779071414302706
205-928,205,928,0.3222353950703081
205-929,205,929,0.2936338100348195
205-930,205,930,0.2808560047153321
206-901,206,901,0.27755295421087567
206-902,206,902,0.2486528231854379
206-903,206,903,0.2197916640042763
206-904,206,904,0.19591447079542945
206-905,206,905,0.1810912637044737
206-906,206,906,0.17698958282716148
206-907,206,907,0.19042247301598536
206-908,206,908,0.22843754398891747
206-909,206,909,0.27772909723603334
206-910,206,910,0.31060560727499364
206-911,206,911,0.3098774635575978
206-913,206,913,0.3071709709315371
206-915,206,915,0.3366376782425675
206-916,206,916,0.3362326580949002
206-917,206,917,0.33297878733452535
206-918,206,918,0.33529730992322015
206-919,206,919,0.3397458417057493
206-920,206,920,0.3365942880487296
206-921,206,921,0.33242651853680627
206-922,206,922,0.3303113248363587
206-923,206,923,0.33293149548308065
206-924,206,924,0.3432274179846502
